count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
703,E,2003,2003-03-20,7,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,533,1,164,51,8,9,18,24,32,142,843
703,E,2003,2003-03-20,8,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,745,1,128,31,8,8,13,28,28,116,993
703,E,2003,2003-03-20,9,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,2,598,2,142,51,3,1,13,32,27,127,871
703,E,2003,2003-03-20,10,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,517,0,100,49,5,2,10,44,21,131,749
703,E,2003,2003-03-20,11,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,448,0,104,51,8,7,9,23,36,134,686
703,E,2003,2003-03-20,12,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,510,6,91,38,6,1,10,41,24,120,727
703,E,2003,2003-03-20,13,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,4,578,7,84,46,5,8,9,32,17,117,790
703,E,2003,2003-03-20,14,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,609,1,90,38,2,2,13,26,37,118,821
703,E,2003,2003-03-20,15,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,631,4,91,39,9,7,13,39,18,125,851
703,E,2003,2003-03-20,16,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,5,807,0,94,27,9,4,4,28,12,84,990
703,E,2003,2003-03-20,17,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,5,811,0,83,25,6,2,6,16,11,66,965
703,E,2003,2003-03-20,18,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,732,0,58,12,5,1,0,14,11,43,834
703,W,2003,2003-03-20,7,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,2,953,5,167,47,5,4,5,19,16,96,1223
703,W,2003,2003-03-20,8,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,5,957,1,130,46,3,4,12,23,19,107,1200
703,W,2003,2003-03-20,9,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,851,1,115,53,5,4,11,32,16,121,1089
703,W,2003,2003-03-20,10,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,594,3,93,61,12,6,13,35,33,160,853
703,W,2003,2003-03-20,11,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,2,604,5,98,63,7,4,15,45,29,163,872
703,W,2003,2003-03-20,12,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,651,1,113,66,6,4,9,31,31,147,913
703,W,2003,2003-03-20,13,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,602,8,126,63,11,4,30,54,20,182,921
703,W,2003,2003-03-20,14,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,576,2,140,83,9,3,14,34,34,177,896
703,W,2003,2003-03-20,15,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,676,4,178,83,14,3,19,39,32,190,1051
703,W,2003,2003-03-20,16,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,866,3,161,78,8,1,23,25,16,151,1182
703,W,2003,2003-03-20,17,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,783,5,138,41,3,3,14,35,23,119,1048
703,W,2003,2003-03-20,18,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,626,3,58,24,0,1,13,24,22,84,772
703,E,2006,2006-03-17,7,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,542,2,158,48,11,15,15,23,23,135,838
703,E,2006,2006-03-17,8,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,732,0,145,56,7,5,13,39,25,145,1023
703,E,2006,2006-03-17,9,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,446,6,111,54,3,16,9,39,34,155,719
703,E,2006,2006-03-17,10,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,490,4,106,33,5,11,11,43,24,127,728
703,E,2006,2006-03-17,11,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,523,6,95,48,7,14,5,39,32,145,769
703,E,2006,2006-03-17,12,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,601,4,119,41,9,6,7,26,20,109,834
703,E,2006,2006-03-17,13,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,581,3,106,23,2,8,7,18,11,69,760
703,E,2006,2006-03-17,14,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,786,6,113,32,4,8,7,25,14,90,996
703,E,2006,2006-03-17,15,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,737,6,130,31,5,5,8,18,16,83,957
703,E,2006,2006-03-17,16,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,4,780,3,94,15,7,6,4,9,13,54,935
703,E,2006,2006-03-17,17,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,854,7,55,10,2,6,2,17,10,47,963
703,E,2006,2006-03-17,18,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,2,715,7,44,4,1,2,0,15,4,26,794
703,W,2006,2006-03-17,7,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,902,5,190,37,8,2,14,18,12,91,1191
703,W,2006,2006-03-17,8,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,3,947,5,120,51,17,12,15,34,27,156,1231
703,W,2006,2006-03-17,9,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,860,5,127,56,6,13,9,46,37,167,1160
703,W,2006,2006-03-17,10,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,717,7,138,59,3,9,17,41,31,160,1022
703,W,2006,2006-03-17,11,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,727,5,131,50,8,13,16,45,30,162,1025
703,W,2006,2006-03-17,12,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,745,6,125,54,10,13,19,50,30,176,1053
703,W,2006,2006-03-17,13,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,2,680,3,127,74,11,13,17,43,29,187,999
703,W,2006,2006-03-17,14,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,2,748,6,170,77,8,5,24,34,20,168,1094
703,W,2006,2006-03-17,15,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,0,818,5,147,54,5,8,14,43,22,146,1116
703,W,2006,2006-03-17,16,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,901,8,138,56,9,9,7,29,28,138,1186
703,W,2006,2006-03-17,17,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,840,8,100,31,1,4,9,18,19,82,1031
703,W,2006,2006-03-17,18,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,1,701,6,65,20,2,1,12,13,20,68,841
703,N,2008,2008-06-06,7,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,14,1078,5,166,44,6,4,3,24,23,104,1367
703,N,2008,2008-06-06,8,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,9,1109,0,147,47,10,11,0,28,30,126,1391
703,N,2008,2008-06-06,9,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,10,1237,3,167,38,8,6,2,46,37,137,1554
703,N,2008,2008-06-06,10,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,6,847,11,142,80,10,12,5,33,35,175,1181
703,N,2008,2008-06-06,11,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,15,1014,7,184,39,17,10,2,98,18,184,1404
703,N,2008,2008-06-06,12,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,20,1151,6,190,32,16,10,2,71,17,148,1515
703,N,2008,2008-06-06,13,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,13,851,6,198,75,16,5,6,45,34,181,1249
703,N,2008,2008-06-06,14,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,4,954,12,204,91,11,1,7,23,21,154,1328
703,N,2008,2008-06-06,15,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,5,1223,5,167,31,22,4,3,43,26,129,1529
703,N,2008,2008-06-06,16,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,13,1191,5,150,55,4,6,4,28,25,122,1481
703,N,2008,2008-06-06,17,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,12,1256,7,96,33,0,1,4,20,17,75,1446
703,N,2008,2008-06-06,18,3,Scotland,29,City of Edinburgh,M9,Major,1,A8000,311900,675200,55.96170391,-3.41278103,1.9,1.18,0,9,787,11,94,28,7,6,5,15,17,78,979
